 The relative abundance of Holdemanella biformis between individuals with IBS and healthy people pooled in the GMrepo database  ,,
Holdemanella biformis,IBS,Control
,0.492164,1.22644
,0.0889587,0.00284681
,0.661857,1.8576
,0.0200938,5.28662
,0.347289,0.00200044
,0.022581,0.0126561
,0.179605,0.0219047
,0.141316,0.00492981
,0.0281215,0.00940099
,1.10828,0.0816251
,0.0358185,0.00140889
,0.0306789,0.0131404
,0.0617611,0.00887184
,0.13533,0.0504385
,0.0742464,0.113082
,1.07545,0.00469444
,0.00460236,0.000824056
,0.388455,0.00243197
,0.615829,0.00288859
,0.434398,0.0232179
,0.343303,0.0179422
,0.179457,0.0172329
,0.00622549,0.00223256
,0.24284,0.00288168
,0.00369154,0.00524885
,0.0533938,0.0432012
,0.00445434,0.0160332
,0.00568473,0.00890791
,4.56202,0.0112268
,0.0214562,0.00609724
,0.0134436,0.00343217
,0.00550812,0.00479
,0.00933881,0.0215509
,0.0101667,0.00652567
,0.0084076,1.50563
,0.00623571,0.0544115
,0.915882,0.130799
,0.0581666,0.0274496
,0.00689893,0.00932238
,0.457529,0.00873679
,0.0977972,0.0932807
,0.643588,0.00844737
,0.0588005,0.0160785
,0.00790639,0.0300414
,0.0140726,0.00966072
,0.00753352,0.0162138
,0.0153007,0.013067
,0.00569638,0.0243442
,0.0442003,0.146216
,0.220751,0.00957304
,0.00891557,0.00550588
,0.00144928,0.00224904
,0.00131723,0.000599132
,0.00145543,0.00420595
,0.00340896,0.00261804
,0.0080125,0.0289706
,0.0136455,0.000691525
,0.0122088,0.042646
,0.0014038,0.00133631
,0.00318542,0.00176249
,0.0187248,0.00257792
,0.0412536,0.0233762
,0.0525683,3.52854
,0.0289603,0.00221904
,0.00354007,0.00222677
,0.0444268,0.00169162
,0.0368207,0.0132608
,0.0815433,0.0128504
,0.00563634,1.65053
,1.02795,0.66912
,0.00196098,2.11139
,0.0134913,0.62159
,0.00674482,0.70079
,0.012293,3.64638
,0.0198965,1.2881
,0.00286878,1.47063
,0.00484825,0.54367
,0.00518632,0.61315
,0.00731814,5.32686
,0.00244816,3.06895
,0.0108594,3.74579
,0.00478572,0.00556901
,0.00855213,0.00403454
,1.36533,0.00565063
,0.00147321,0.00411845
,0.00201406,0.000915575
,0.00328915,0.00149138
,0.0108833,0.00271525
,0.00170905,0.00151387
,0.00601359,0.167977
,0.00691515,0.0119617
,1.79536,0.00310699
,0.0535117,0.00233959
,0.00173382,0.00308366
,0.00229024,0.00127033
,0.853189,0.00677323
,5.20812,0.00161604
,0.00647501,0.0015999
,0.00956389,0.00312637
,0.0650724,0.00478126
,0.0280717,0.0789722
,0.980866,0.118076
,0.00230947,0.00142735
,0.231723,0.00237744
,0.010401,0.00257308
,0.00294811,0.00304685
,0.00494328,0.00680911
,0.917245,0.00159332
,0.00481301,0.00356971
,0.0079713,0.000710868
,0.0933538,0.0052454
,0.38582,0.00394789
,0.847837,0.00921801
,0.00899544,0.00111009
,0.0137966,0.000747697
,0.0177158,0.0172718
,0.00757232,0.000655903
,0.00486618,0.00173898
,0.00207477,0.0452028
,3.79122,0.00334079
,0.00666963,0.00119336
,0.328096,0.00233725
,0.0158839,0.00270915
,0.0180411,0.00349016
,0.215195,0.00358727
,0.0102337,0.00149225
,0.0115825,0.00175205
,0.148585,0.00214574
,0.00236128,0.00763492
,0.0043852,0.00492086
,0.0168919,0.0019226
,0.152464,0.00265062
,0.517732,0.00177999
,0.0198558,0.00139061
,0.00409475,0.00215355
,0.00122602,0.00269251
,0.00660731,1.87593
,0.23009,0.00113089
,0.00719282,0.00561911
,0.00827563,0.00474428
,0.014761,0.0188076
,0.0309991,0.00286238
,0.00574713,0.00187515
,,0.00270314
,,0.028457
,,0.0105901
,,0.0156231
,,0.00696731
,,0.00274123
,,0.00476145
,,0.00948032
,,1.11929
,,0.00246245
,,2.91864
,,0.381077
,,0.00197707
,,0.00144823
,,0.00333806
,,0.00680874
,,0.00167988
,,0.0246439
,,0.00128502
,,0.000539403
,,0.00485673
,,0.0176972
,,0.00251721
,,0.0191121
,,0.00338532
,,0.0040714
,,0.00102207
,,0.00252672
,,0.000872342
,,0.00135432
,,0.00798164
,,0.00105306
,,0.00409534
,,0.0152259
,,0.00448589
,,0.0022363
,,0.00133683
,,0.00163305
,,0.00468083
,,0.00171205
,,0.23416
,,0.00671358
,,0.146185
,,0.0997789
,,0.910796
,,0.00935753
,,0.00274549
,,0.0204951
,,2.11094
,,0.0247946
,,0.400555
,,0.480663
,,0.477809
,,0.00772487
,,0.00150639
,,0.0782113
,,0.569043
,,0.00303628
,,0.0114241
,,0.525878
,,0.0279867
,,0.24063
,,0.109076
,,0.00776784
,,0.0117547
,,0.819902
,,0.0156308
,,0.559011
,,0.0070483
,,0.519543
,,0.191056
,,0.180138
,,0.0505657
,,1.19492
,,0.0153898
,,0.00258656
,,1.87382
,,0.204317
,,0.000556759
,,0.00220167
,,0.000768285
,,0.07115
,,0.29548
,,0.01117
,,0.00347
,,0.04037
,,0.01824
,,0.0220999
,,0.00162248
,,0.00359028
,,0.0473238
,,0.0279912
,,0.0449879
,,0.00165025
,,0.00178158
,,0.00486665
,,0.0436529
,,0.0237847
,,0.0730146
,,0.126192
,,0.0164227
,,0.00286969
,,0.00319229
,,0.0198012
,,0.0339342
,,0.00169924
,,0.0593329
,,0.0636833
,,0.00164666
,,0.254164
,,0.0513128
,,0.0043851
,,0.00653061
,,0.00322945
,,0.00171412
,,0.00558098
,,0.0073185
,,0.00360965
,,0.00529886
,,0.00291937
,,0.0365645
,,0.0333662
,,0.00187382
,,0.00238317
,,0.0187938
,,0.0341027
,,0.168962
,,0.0114228
,,0.00293889
,,0.00161075
,,0.00576751
,,0.004036
,,0.0459542
,,0.046708
,,0.00249227
,,0.00431109
,,0.00653275
,,0.0148189
,,0.0791647
,,0.00684158
,,0.00690767
,,0.00279408
,,0.00448055
,,0.109083
,,0.00182335
,,0.00809487
,,0.100107
,,0.0347619
,,0.0259224
,,0.00229758
,,0.00584078
,,0.177644
,,0.00191457
,,0.00212807
,,0.00793682
,,0.142978
,,0.0823025
,,0.0226249
,,0.0167487
,,0.00235145
,,0.00326083
,,0.00326381
,,0.001924
,,0.00358064
,,0.00598426
,,0.0418776
,,0.00740101
,,0.00673968
,,0.00333195
,,0.121528
,,0.00303049
,,0.0052487
,,0.00393654
,,0.0141383
,,0.00233869
,,0.00360881
,,0.00143047
,,0.0108672
,,0.00291894
,,0.0185435
,,0.0980369
,,0.00225017
,,0.0030553
,,0.0161306
,,0.0101661
,,0.00581142
,,0.00212053
,,0.198561
,,0.00242301
,,0.00396534
,,0.00486334
,,0.00342138
,,0.0026202
,,0.264347
,,0.0020291
,,0.00619438
,,0.117518
,,0.00671998
,,0.289234
,,0.00256102
,,0.0612379
,,0.00372523
,,0.0113675
,,0.0144389
,,0.0273523
,,0.00279014
,,0.0439372
,,0.00217623
,,0.00425867
,,0.00586321
,,0.00340368
,,0.0460183
,,0.0015917
,,0.00421017
,,0.0042179
,,0.0389956
,,0.00317541
,,0.0735627
,,0.00579028
,,0.00277216
,,0.0431844
,,0.00347693
,,0.00147007
,,0.00394436
,,0.0050686
,,0.00138236
,,0.0784869
,,0.00140861
,,0.423495
,,0.130725
,,0.0023525
,,0.00844904
,,0.0049351
,,0.0160816
,,0.00266255
,,0.00637592
,,0.00331653
,,0.0292013
,,0.00431704
,,0.00134225
,,0.00133923
,,0.0123516
,,0.00436367
,,0.0114386
,,0.00195879
,,0.0035729
,,0.00186979
,,0.00961146
,,0.115448
,,0.0202479
,,0.00232823
,,0.0053396
,,0.00189789
,,0.00322203
,,0.00350742
,,0.00265654
,,0.00175482
,,0.00722543
,,0.00839819
,,0.00781952
,,0.00370556
,,0.00603828
,,0.00331873
,,0.0622013
,,0.00240177
,,0.00567521
,,0.0107945
,,0.0123183
,,0.00576015
,,0.163897
,,0.0173053
,,0.212907
,,0.00390297
,,0.00841444
,,0.0026039
,,0.0170233
,,0.00431248
,,0.00350067
,,0.00166708
,,0.0066139
,,0.0803552
,,0.358352
,,0.00215172
,,0.0191293
,,0.123135
,,0.485376
,,0.180406
,,0.487732
,,0.0371034
,,0.00144159
,,0.0398401
,,0.0089315
,,0.00848608
,,0.00574409
,,0.00206351
,,0.0156989
,,0.467716
,,1.46778
,,2.06845
,,0.00774024
,,0.0194013
,,0.714117
,,0.00762447
,,0.104633
,,0.0316862
,,0.00222
,,0.356299
,,0.120865
,,0.137797
,,0.0592376
,,0.399702
,,8.85737
,,0.17698
,,0.00518556
,,0.00570568
,,0.0554558
,,0.0937009
,,0.395359
,,0.00776076
,,1.35493
,,0.00810373
,,0.00264669
,,0.034883
,,0.0015119
,,0.0167642
,,0.00391535
,,0.184798
,,0.16128
,,0.00209061
,,0.0105801
,,0.0176091
,,0.0136562
,,0.00389919
,,8.75074
,,0.139292
,,0.00533451
,,0.0194299
,,0.00951221
,,3.43244
,,2.93676
,,0.145729
,,0.11987
,,0.00443053
,,0.105962
,,0.0949427
,,0.0255746
,,0.00132779
,,0.134697
,,0.0355712
,,0.0186053
,,0.0247896
,,0.0428163
,,0.0525108
,,0.813069
,,0.363477
,,0.521342
,,0.0658858
,,0.0472981
,,0.00334952
,,0.281965
,,0.0147973
,,0.147541
,,0.00155863
,,0.213544
,,0.357944
,,1.77422
,,0.0150599
,,7.13908
,,2.46336
,,0.0600192
,,0.00441199
,,0.0161145
,,2.78733
,,0.00561335
,,0.515947
,,0.628967
,,0.00458751
,,0.318215
,,0.196657
,,0.00210544
,,0.00244278
,,0.000855308
,,0.0114855
,,0.99995
,,0.818843
,,0.333749
,,0.257389
,,0.413223
,,0.0705738
,,0.202393
,,1.28263
,,0.0114114
,,0.326459
,,0.0296316
,,0.0087321
,,1.00371
,,0.159933
,,0.0442022
,,0.183701
,,0.0111975
,,0.00523423
,,0.00889284
,,0.0175328
,,0.00652369
,,0.0425953
,,0.189431
,,3.05235
,,0.0051557
,,0.00940822
,,0.0150943
,,0.947215
,,0.151183
,,0.00700587
,,0.0239074
,,6.79329
,,5.36436
,,2.2309
,,0.289602
,,0.0401624
,,2.1498
,,0.00336553
,,0.827368
,,0.273706
,,0.0345399
,,0.0757499
,,0.602513
,,0.046295
,,0.0345258
,,0.479462
,,0.00289897
,,0.0252815
,,0.0560407
,,0.00237578
,,0.00155444
,,0.00165371
,,0.0101112
,,0.00251042
,,0.00656197
,,1.05064
,,0.0148805
,,0.024199
,,0.177236
,,0.260155
,,0.00148223
,,0.0063806
,,0.00503651
,,0.00786473
,,0.176667
,,0.771124
,,0.00655136
,,0.0184531
,,0.010551
,,0.0238265
,,0.00266361
,,0.230769
,,0.00392026
,,0.201819
,,0.0137817
,,0.024022
,,0.147954
,,0.00462763
,,0.0123854
,,0.407727
,,0.704096
,,0.00121186
,,0.00157075
,,0.00523935
,,0.226171
,,0.00970238
,,1.18778
,,0.0101249
,,0.267804
,,0.0565342
,,0.109852
,,0.0018714
,,1.40873
,,0.0849489
,,0.215997
,,1.98068
,,0.00162718
,,0.00317038
,,0.00268608
,,0.030309
,,0.643908
,,0.00542594
,,0.00449991
,,0.161561
,,0.00784765
,,0.0060714
,,0.00258792
,,0.0372093
,,0.665995
,,0.0971168
,,0.0171869
,,1.72829
,,0.406636
,,0.00891695
,,0.595809
,,0.0629536
,,0.00354566
,,0.0569538
,,0.00328154
,,0.382161
,,0.0121082
,,0.581938
,,1.42014
,,0.499635
,,0.107553
,,0.0158512
,,0.00538633
,,0.00311463
,,0.0107252
,,0.151227
,,0.00195012
,,2.62822
,,0.00659761
,,0.0174828
,,0.0443812
,,0.242803
,,0.00980516
,,0.159316
,,0.0060119
,,0.212202
,,0.00338983
,,0.00512072
,,0.0479386
,,0.00896419
,,0.0173658
,,0.0102648
,,0.00283274
"IBS, Irritable bowel syndrome; GMrepo, data repository for gut microbiota.",,
