Spearman correlations between differential intestinal microbes and metabolites ,,,,
Gut Microbes,Metabolites,Correlation,p-value,relation
Ruminococcaceae_UCG-007,D-Glucuronic acid,0.154886628,0.346451468,positive
Ruminococcaceae_UCG-008,D-Glucuronic acid,-0.108881382,0.509377671,negtive
Holdemanella,D-Glucuronic acid,-0.077962558,0.637102076,negtive
Ramlibacter,D-Glucuronic acid,-0.048002231,0.771672541,negtive
Bacteroides,D-Glucuronic acid,0.032995951,0.841662789,positive
Coriobacteriaceae_UCG-002,D-Glucuronic acid,0.508704769,0.000943649,positive
Weissella,D-Glucuronic acid,-0.418475651,0.008019259,negtive
Weissella,L-Lysine,-0.218617278,0.181194982,negtive
HIMB11,L-Lysine,-0.164900594,0.315770293,negtive
Finegoldia,L-Lysine,0.080014674,0.628235842,positive
Coriobacteriaceae_UCG-002,L-Lysine,0.067332041,0.683809391,positive
HIMB11,L-Proline,-0.065118403,0.693690481,negtive
Finegoldia,L-Proline,0.149290139,0.364363911,positive
Weissella,L-Proline,-0.14023548,0.394493967,negtive
Coriobacteriaceae_UCG-002,L-Proline,0.073935533,0.654645577,positive
HIMB11,Citrulline,0.031692607,0.848111313,positive
Finegoldia,Citrulline,0.005596489,0.973026133,positive
Weissella,Citrulline,-0.211924912,0.195258008,negtive
Coriobacteriaceae_UCG-002,Citrulline,0.172044566,0.294963284,positive
Coriobacteriaceae_UCG-002,Acetylcholine,-0.068982914,0.676473873,negtive
HIMB11,Acetylcholine,-0.05570966,0.736230607,negtive
Finegoldia,Acetylcholine,0.034183963,0.83632742,positive
Weissella,Acetylcholine,0.250152516,0.124560327,positive
Weissella,2-Hydroxycinnamic acid,-0.238288777,0.144060996,negtive
Coriobacteriaceae_UCG-002,2-Hydroxycinnamic acid,0.19751518,0.22810016,positive
Finegoldia,2-Hydroxycinnamic acid,-0.068821695,0.677188952,negtive
HIMB11,2-Hydroxycinnamic acid,-0.266415975,0.101126237,negtive
